timestamp_utc,request_id,endpoint,input_type,input_length_seconds,text_length_chars,n_letters_rendered,success,error_stage,error_message_short,output_video_filename,output_video_duration_seconds,n_poses_rendered,t_total,t_download,t_extract_audio,t_asr,t_text_normalisation,t_pose_sequence,t_render
2025-12-06T16:10:04.709238,4c711675-fd11-475e-a8e0-2954f5271932,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765037251.mp4,139.4,195,171.5416841999977,9.80832479998935,0.06642650000867434,8.784070599998813,0.00017189999925903976,0.00010570000449661165,152.8352431999956
2025-12-06T16:12:57.622593,c735a830-27dd-4ca3-9edb-eb9159521526,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765037426.mp4,139.4,195,172.77191429999948,10.600280499988003,0.07432119999430142,10.476167100001476,8.909999451134354e-05,6.659999780822545e-05,151.56924430000072
2025-12-06T16:15:48.008411,6a420002-8dab-4d39-b503-0e83e805382e,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765037596.mp4,139.4,195,170.27635709999595,9.843892600008985,0.061528699996415526,9.17672990000574,5.570000212173909e-05,6.090001261327416e-05,151.14600509998854
2025-12-06T16:18:29.181764,1a3a2dd9-3bd6-48a3-b2c0-88605eb351ac,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765037768.mp4,139.4,195,161.00769729999593,10.961753700001282,0.08953920000931248,9.59593149999273,5.5800002883188426e-05,6.47000124445185e-05,140.3059176000097
2025-12-06T16:21:09.612597,65f73f8e-963c-4873-b8ac-93bfa40de9cb,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765037927.mp4,139.4,195,160.33401700000104,9.410362700000405,0.05577149998862296,8.845543200004613,5.909999890718609e-05,6.27999979769811e-05,141.9750795
2025-12-06T16:23:48.820741,fc63e033-ee4e-4645-b792-f12c80fb28b6,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765038088.mp4,139.4,195,159.13393139999243,9.444860699994024,0.05553939999663271,9.328055699996185,6.500000017695129e-05,6.410000787582248e-05,140.2587477999914
2025-12-06T16:26:27.233772,079ce076-2102-4afe-bba6-3bf326c234ad,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765038247.mp4,139.4,195,158.30379359998915,10.455020300010801,0.0631403000006685,8.45582230000582,6.249999569263309e-05,6.409999332390726e-05,139.26347920000262
2025-12-06T16:29:08.231322,87e0ecd9-dce2-4a4b-8f1f-95d3110e55a8,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765038407.mp4,139.4,195,160.8983481999894,10.746772500002407,0.06059589999495074,9.43591309999465,7.759999425616115e-05,0.00011380000796634704,140.60626539999794
2025-12-06T16:31:44.182422,6d179e57-a697-403d-9051-5506da48cbda,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765038567.mp4,139.4,195,155.83715429999575,10.212890099996002,0.061652699994738214,8.798687899994547,5.3800002206116915e-05,6.140000186860561e-05,136.71436969999922
2025-12-06T16:34:14.075142,4f7c79de-34c4-40d1-9eb2-e312371d37af,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765038721.mp4,139.4,195,149.81994770000165,9.251024199998938,0.05701880001288373,7.645345600001747,5.220000457484275e-05,6.160000339150429e-05,132.8176744999946
2025-12-06T16:36:43.964124,f0fb04de-7e46-4eb9-a7c5-d4044b21d6ed,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765038871.mp4,139.4,195,149.80653130001156,9.50898870000674,0.05589230000623502,7.609878200004459,5.819999205414206e-05,6.079999729990959e-05,132.58167210000101
2025-12-06T16:39:13.505861,fb01bfd1-f7d3-41ee-823e-72ce10741c08,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765039020.mp4,139.4,195,149.47030420000374,9.075193099997705,0.05634390001068823,7.602418499998748,5.1099996198900044e-05,6.140000186860561e-05,132.6885270000057
2025-12-06T16:41:43.328044,560c8d0a-7066-46d2-9b56-e8a114dae0c5,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765039171.mp4,139.4,195,149.74695820000488,10.231774399988353,0.05809030000818893,7.500192200008314,5.230000533629209e-05,5.910001345910132e-05,131.90878070000326
2025-12-06T16:44:14.967924,50f224bb-ce6c-407d-b2ef-ead635c58c2e,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765039321.mp4,139.4,195,151.52664480000385,10.396054700002423,0.05749229999491945,7.517351699993014,5.319999763742089e-05,5.990000499878079e-05,133.51119180000387
2025-12-06T16:46:46.860099,b042c8ee-47db-4833-89dc-3bb4b844d2f0,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765039473.mp4,139.4,195,151.77012550001382,11.140798000007635,0.05980160000035539,7.628492899995763,5.789998976979405e-05,5.9600002714432776e-05,132.88090689999808
2025-12-06T16:49:17.244836,b97ab0ee-90cf-47ef-9d35-e43e98969fd6,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765039624.mp4,139.4,195,150.2946782999934,9.535386199990171,0.05825370000093244,7.5993010999955,5.750000127591193e-05,6.299999949987978e-05,133.0566633999988
2025-12-06T16:51:57.366475,5aa9aa65-60cf-49db-85e5-2449ebeff0a2,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765039774.mp4,139.4,195,160.01874390000012,9.780784200003836,0.056016300004557706,7.508108499998343,5.5899989092722535e-05,6.620000931434333e-05,142.629608800009
